example_id,split,scenario_family,language,provisional,gold_status,gold_concerns,reviewer,review_decision,review_notes
train-e54d83b8e0,train,ambiguous_code,English,True,insufficient_context,,,,
train-0cae9f9afb,train,reluctance_respected,English,True,no_clear_concern,,,,
train-08d8f03c3f,train,assistance_choice,English,True,no_clear_concern,,,,
train-0f7fca62eb,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-3ebddb6754,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-620cb942e3,train,availability_limit,English,True,no_clear_concern,,,,
train-d860c5d686,train,assistance_choice,English,True,no_clear_concern,,,,
train-bad0b0f4c7,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-490229ec3e,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-5f8c8ecfd0,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-84d17e22c3,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-3bed4ffe5f,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-a161ff318a,train,assistance_choice,English,True,no_clear_concern,,,,
train-f9f82bb94e,train,assistance_choice,English,True,no_clear_concern,,,,
train-d0277c5196,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-d8a2f32241,train,ambiguous_code,English,True,insufficient_context,,,,
train-1f5b5b81c7,train,reluctance_respected,English,True,no_clear_concern,,,,
train-111ccd2d64,train,ambiguous_payment,English,True,insufficient_context,,,,
train-ac8d544a10,train,ambiguous_payment,English,True,insufficient_context,,,,
train-582ca62f14,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-6247c7f914,train,reluctance_respected,English,True,no_clear_concern,,,,
train-62b4f33a2b,train,refusal_respected,English,True,no_clear_concern,,,,
train-f0f0f333c9,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-2fd3a1b9ae,train,credential_self_action,English,True,no_clear_concern,,,,
train-245a4824f0,train,credential_direct,English,True,concern_detected,credential_request,,,
train-031daad907,train,refusal_respected,English,True,no_clear_concern,,,,
train-a119b6a91e,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-5b782b32fe,train,availability_limit,English,True,no_clear_concern,,,,
train-1e0e6e661b,train,credential_direct,English,True,concern_detected,credential_request,,,
train-2262fee610,train,joking_threat,English,True,no_clear_concern,,,,
train-12f9ae77c7,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-5efa02be37,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-a39faede06,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-f5f85606d1,train,credential_self_action,English,True,no_clear_concern,,,,
train-a04a427eb8,train,refusal_respected,English,True,no_clear_concern,,,,
train-0fb4e0d17a,train,refusal_respected,English,True,no_clear_concern,,,,
train-c8fce1af39,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-626fbb3b5f,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-53f85b0067,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-abeda23ea1,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-21263c0afe,train,reluctance_respected,English,True,no_clear_concern,,,,
train-f6af125494,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-1877e8772a,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-740f3e6f4a,train,availability_limit,English,True,no_clear_concern,,,,
train-f7ca5da4d6,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-caf391c58c,train,ambiguous_code,English,True,insufficient_context,,,,
train-d9485981e3,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-cd3c0c18c3,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-675f28cc1e,train,credential_quote_benign,English,True,no_clear_concern,,,,
